Synthesis_Method,Chitosan_Conc_mgmL,Chitosan_MW_kDa,Chitosan_DD_percent,Cobalt_Source,Cobalt_Conc_mM,pH,Temperature_C,Time_hr,Stirring_Speed_rpm,Crosslinker/TPP_Used,Crosslinker_Conc_mM,Ultrasonication,Ultrasonication_Details,Solvent,Ionic_Strength_mM,Particle_Size_nm,Size_SD_nm,PDI,Zeta_Potential_mV,Solvent_polarity_index,Co_to_CS_ratio,CS_charge_index,pHpKa_diff,Energy_proxy
0.0,2.0,300.0,90.0,15.0,50.0,6.0,25.0,0.58,200.0,2.0,0.0,0.0,27.0,33.0,50.0,80.72,15.0,0.6,35.0,9.0,24.9999999875,59.952548212480984,-0.2999999999999998,14.499999999999998
10.0,20.0,250.0,95.0,8.0,40.1,11.0,80.0,3.0,400.0,2.0,0.0,0.0,27.0,7.0,200.0,26.0,8.4,0.45,-28.4,0.0,2.00499999989975,0.001895461379793829,4.7,240.0
10.0,20.0,150.0,85.0,33.0,100.0,12.0,80.0,1.0,400.0,2.0,0.0,1.0,28.0,33.0,1000.0,20.0,4.0,0.25,30.0,9.0,4.99999999975,0.00016959695838193492,5.7,80.0
1.0,20.1,150.0,85.0,41.0,125.0,5.3003027976190396,120.0,4.0,400.0,2.0,0.0,0.0,27.0,37.0,0.0,28.63826705072337,3.452667406260679,0.25280170742853386,25.0,0.0,6.2189054723274175,77.26782806818338,-0.9996972023809603,480.0
10.0,20.4,200.0,85.0,33.0,300.0,7.0,25.0,24.0,400.0,2.0,0.0,0.0,27.0,5.0,313.0,213.00720642460033,5000.0,0.5,30.0,0.0,14.705882352220302,14.138690119407757,0.7000000000000002,600.0
48.0,20.0,200.0,80.0,6.0,100.0,3.0,120.0,2.0,500.0,2.0,0.0,0.0,27.0,5.0,300.0,25.0,5.0,0.25,-15.0,0.0,4.99999999975,79.95992510633491,-3.3,240.0
14.0,20.0,120.0,85.0,0.0,0.01,6.0,40.0,24.0,200.0,1.0,53.0,0.0,27.0,2.0,20.0,45.0,2.0,0.4,-32.8,9.0,0.000499999999975,56.621851089565375,-0.2999999999999998,960.0
10.0,29.5,150.0,90.0,31.0,100.0,12.0,85.0,2.0,300.0,2.0,0.0,0.0,27.0,33.0,100.0,165.0,30.0,0.4,-15.0,9.0,3.3898305083596667,0.0001795732500514605,5.7,170.0
10.0,10.0,150.0,85.0,33.0,18.9,11.0,25.0,2.0,400.0,2.0,0.0,0.0,27.0,20.0,500.0,16.64,3.0,0.3,30.0,9.0,1.8899999998109998,0.0016959391292892154,4.7,50.0
7.0,25.0,150.0,81.0,33.0,14.7,10.0,80.0,4.0,300.0,2.0,0.0,1.0,28.0,22.0,120.0,28.1,8.0,0.3,-25.0,6.4,0.58799999997648,0.016158400726443953,3.7,320.0
1.0,12.5,150.0,85.0,30.0,100.0,4.5,80.0,24.0,500.0,2.0,0.0,0.0,27.0,25.0,50.0,22.0,3.0,0.2,25.0,5.2,7.99999999936,83.67385870944449,-1.7999999999999998,1920.0
33.0,10.0,200.0,85.0,16.0,240.0,6.0,25.0,0.5,300.0,2.0,0.0,1.0,12.0,1.0,100.0,35.0,5.0,0.3,-10.0,0.0,23.9999999976,56.621851089565375,-0.2999999999999998,12.5
